handle,score,status,posts_seen,valuable_posts
"@yamarie0324",25.4,"active",1,1
"@kengoshikagawa",24.4,"active",1,1
"@tadashi_isono",23.8,"active",2,2
"@_masakari",23.4,"active",1,1
"@ankoomori",23.4,"active",1,1
"@event_checker",23.4,"active",1,1
"@kazuyarainbow",23.4,"active",1,1
"@pippu_town",23.4,"active",1,1
"@selion_akitakou",23.4,"active",1,1
"@tomkamoshida",23.4,"active",1,1
"@natsutr_bon",23.325,"trusted",8,8
"@koufukuyac",22.4,"active",1,1
"@stardustkawachi",22.4,"active",1,1
"@hatadatakasi1",20.8,"active",2,2
"@bonkyodora_",20.4,"active",1,1
"@elegelacom",20.4,"active",1,1
"@kontopira",20.4,"active",1,1
"@mau3_141592",20.4,"active",1,1
"@midorimushi54",20.4,"active",1,1
"@mu_novel",20.4,"active",1,1
"@niccori_369",20.4,"active",1,1
"@nyantokonyan",20.4,"active",1,1
"@riverroadf",20.4,"active",1,1
"@shesuno",20.4,"active",1,1
"@shumatsu_y",20.4,"active",1,1
"@streamerpress",20.4,"active",1,1
"@tmyk_tkhs",20.4,"active",1,1
"@yamabon_zaimoku",20.4,"active",1,1
"@kaz0045",20.3,"active",2,2
"@deraobu",19.4,"active",1,1
"@hachinohe_kanko",19.4,"active",1,1
"@handmade_ugo",19.4,"active",1,1
"@kita_cos_",19.4,"active",1,1
"@mila_em",19.4,"active",1,1
"@osamushi18",19.4,"active",1,1
"@sayokai",19.4,"active",1,1
"@subbyhi",19.4,"active",1,1
"@yabanaryu",19.4,"active",1,1
"@tomohikos",18.7,"trusted",4,3
"@chiekoy340822",18.4,"active",1,1
"@eni_eni_2026",18.4,"active",1,1
"@ranranrooo__",18.4,"active",1,1
"@agehabijo",18.3,"active",2,2
"@ringtree221",17.4,"active",1,1
"@elizabe60497572",16.4,"active",1,1
"@hz7tu7f7ud23osv",16.4,"active",1,1
"@imtmynrkrmxy28",16.4,"active",1,1
"@indigo61587878",16.4,"active",1,1
"@iwasaki0426",16.4,"active",1,1
"@marilyn_rei",16.4,"active",1,1
"@mytiarajp",16.4,"active",1,1
"@ookouchi_akira",16.4,"active",1,1
"@shigeoriori",16.4,"active",1,1
"@temari_tmbotan",16.4,"active",1,1
"@tnsn_daaa",16.4,"active",1,1
"@tukishimanagaya",16.4,"active",1,1
"@weaponpeso",16.4,"active",1,1
"@yurubon_off",16.3,"active",2,2
"@8rq1adtujgwz3pm",15.4,"active",1,1
"@_vvarin_",15.4,"active",1,1
"@cigfs2",15.4,"active",1,1
"@daikok555",15.4,"active",1,1
"@ddk121_ygm",15.4,"active",1,1
"@maho830201",15.4,"active",1,1
"@namigorookoku",15.4,"active",1,1
"@ninninmachiko",15.4,"active",1,1
"@tarotoda",15.4,"active",1,1
"@teruhi__rio",15.4,"active",1,1
"@yuzupi14",15.4,"active",1,1
"@ezra_sk",15.3,"active",2,2
"@event_finderjp",14.85,"trusted",4,4
"@hiro_taka28",14.3,"active",2,2
"@osaruna7741",14.3,"active",2,2
"@sakuranoitiniti",14.3,"active",2,2
"@ssqq47356585",13.867,"trusted",3,3
"@dstui_hhr",13.8,"active",2,2
"@wannyantanookan",13.8,"active",2,2
"@stba_bonodori",12.733,"trusted",6,6
"@nyoritael",12.533,"trusted",3,3
"@sasakichi_akiba",12.45,"trusted",8,8
"@anqoo",12.4,"active",1,1
"@jitensha_kogi",12.4,"active",1,1
"@kemippphi",12.4,"active",1,1
"@komaikai",12.4,"trusted",5,5
"@nippon_1chi",12.4,"active",1,1
"@suwayahikari_nu",12.3,"active",2,2
"@mu4324",12.233,"trusted",6,6
"@kitashiro_",11.8,"active",2,2
"@kokoro_odoru_gj",11.8,"active",2,2
